contributor_zip,total_population,median_age,median_income,num_donations,total_amt_donated,white_alone_percent,black_alone_percent,native_american_percent,asian_alone_percent,hawaiian_pacific_percent,other_race_percent,two_or_more_races_percent,amt_donated_per_resident
20721,30785,47.2,162538,165,107553.33,6.733798928049374,86.36348871203509,0.16891343186616858,1.1596556764658112,0,0.7860971252233231,4.78804612636024,3.493692707487413
21032,8040,51.5,142202,21,24970.5,86.55472636815921,7.5621890547263675,0,1.4303482587064678,0,1.2064676616915424,3.2462686567164183,3.1057835820895523
21111,4838,49.5,140966,6,14750,95.99007854485325,0.847457627118644,0,0.0413393964448119,0,0.28937577511368334,2.8317486564696153,3.048780487804878
21208,37319,45.4,89702,61,102286.07,51.60642032208794,41.97057798976393,0.22508641710656768,1.7497789329831988,0,1.3933921058978,3.054744232160562,2.7408577400251883
21030,25133,36.9,92333,35,68012.03,59.344288385787614,17.467075160148013,0.07559781959972944,9.378108462976963,0,3.5093303624716508,10.225599809016035,2.706084828711256
20895,19273,42.1,165423,60,51774.29,71.90888808177243,5.126342551756343,0.8146111139936698,5.889067607533856,0.26980750272401804,4.514087064805686,11.477196077414,2.6863638250402118
20664,2780,37.9,93313,2,7350,65.50359712230215,17.12230215827338,5,1.4028776978417266,0,2.553956834532374,8.417266187050359,2.643884892086331
21409,20619,43.8,140236,39,50492.36,83.24361026237936,4.418255007517338,0.12124739318104662,2.4782967166205925,0,2.260051408894709,7.4785392114069555,2.44882681022358
20711,7435,40.2,86633,10,18158.2,64.8285137861466,12.616005379959649,0,0.4034969737726967,0,14.498991257565569,7.65299260255548,2.442259583053127
21403,32207,44.5,108759,79,76521.52,66.50417611078338,15.909584872853728,0.13351134846461948,1.1270841742478344,0.10246219765889403,10.696432452572422,5.526748843419132,2.3759282143633373
21153,676,57.8,NA,3,1600,90.08875739644971,0,0,2.9585798816568047,0,0,6.952662721893491,2.366863905325444
21734,861,59.1,52794,1,2000,99.65156794425087,0,0,0,0,0,0.34843205574912894,2.3228803716608595
21204,20188,34.8,92734,47,45636.83,69.99702793738855,17.50544878145433,0.23281157123043392,6.053100851991282,0.024767188428769567,0.5944125222904696,5.5924311472161685,2.260591935803448
20677,2055,50.2,156161,3,4554.1,77.37226277372264,13.284671532846716,0,2.7250608272506085,0,0.6812652068126521,5.9367396593673964,2.216107055961071
21212,33861,38.8,94014,40,73253.29,50.57736038510381,37.39995865449928,0.07087800124036503,3.8392250671864385,0.04429875077522814,1.901893033283128,6.166386107911757,2.1633528247836744
21036,2145,47.6,185195,5,4572.84,84.52214452214453,3.44988344988345,0,4.195804195804196,0,2.983682983682984,4.848484848484849,2.13186013986014
21017,6177,36.5,96424,5,12980.15,68.13987372510928,23.44180022664724,0,1.570341589768496,0.12951270843451515,1.4084507042253522,5.3100210458151205,2.1013679779828394
21738,3786,44.7,239821,9,7778.7,86.58214474379292,2.13946117274168,0,6.788166930797676,0,0.6867406233491812,3.8034865293185423,2.0545958795562598
21034,2958,51.8,85833,4,6000,94.7261663286004,0.676132521974307,0.16903313049357674,0.16903313049357674,0,0.0676132521974307,4.192021636240703,2.028397565922921
21037,21060,40.5,127554,32,42693.31,89.10731244064577,5.821462488129154,0,1.063627730294397,0,0.12345679012345678,3.8841405508072175,2.0272226970560303
21714,272,44,176736,1,550,91.54411764705883,0,0,8.455882352941178,0,0,0,2.0220588235294117
21757,2722,46.4,96250,2,5500,92.94636296840558,1.947097722263042,1.322556943423953,1.579720793534166,0,0,2.2042615723732553,2.020573108008817
20779,992,57.1,109931,3,2000,96.16935483870968,2.0161290322580645,0,0.7056451612903225,0,1.1088709677419355,0,2.0161290322580645
20688,1170,71.9,89295,8,2324.2,99.57264957264957,0.3418803418803419,0,0,0,0,0.08547008547008547,1.9864957264957264
21093,38961,46.6,120947,51,76804.57,80.08521341854676,4.550704550704551,0.1411668078334745,10.01001001001001,0.0282333615666949,0.5005005005005005,4.684171350838017,1.9713192679859348
20912,25823,37.3,80593,79,50813.51,36.15381636525578,34.60868218255044,0.6544553305193045,4.898733687023197,0,14.89369941524997,8.790613019401308,1.9677616853192892
21202,20115,33.3,59098,27,37684.49,34.49664429530201,53.64156102411136,0.23365647526721353,5.344270444941586,0.07954262987820035,1.4914243102162565,4.71290082028337,1.8734521501367138
20720,26253,40.9,158598,81,48264.82,14.044109244657754,69.80535557841009,0.045709061821506115,4.944196853692912,0,4.82611511065402,6.334514150763722,1.838449700986554
21766,544,58,55592,1,1000,96.50735294117648,0,0,0,0,0,3.4926470588235294,1.838235294117647
21057,4530,45.5,163462,5,7995.4,88.54304635761589,4.679911699779249,0.1986754966887417,2.185430463576159,0,1.2803532008830023,3.1125827814569536,1.764988962472406
20689,1884,47.6,174750,1,3300,78.13163481953292,20.276008492569,0,0,0,0.5307855626326964,1.0615711252653928,1.7515923566878981
