contributor_zip,total_population,median_age,median_income,hispanic_or_latino,num_donations,total_amt_donated,white_alone_percent,black_alone_percent,native_american_percent,asian_alone_percent,hawaiian_pacific_percent,other_race_percent,hispanic_or_latino_percent,two_or_more_races_percent,amt_donated_per_resident
20912,25823,37.3,80593,5874,108,87689.58,36.15381636525578,34.60868218255044,0.6544553305193045,4.898733687023197,0,14.89369941524997,22.747163381481624,8.790613019401308,3.395793672307633
21714,272,44,176736,0,1,918,91.54411764705883,0,0,8.455882352941178,0,0,0,0,3.375
20765,604,53.7,139167,0,3,2000,70.03311258278146,29.96688741721854,0,0,0,0,0,0,3.3112582781456954
20838,368,34.7,195938,55,4,1210,91.84782608695652,0,0,0.2717391304347826,0,4.076086956521739,14.945652173913043,3.804347826086957,3.2880434782608696
21035,8360,44.8,171185,214,24,25892.11,94.00717703349282,1.4832535885167464,0.11961722488038277,0.6339712918660286,0,1.8899521531100478,2.5598086124401913,1.8660287081339715,3.0971423444976076
20855,16558,41.9,146036,2220,40,50178.6,55.429399685952404,12.912187462253897,1.5279623142891654,16.777388573499216,0,4.16716994806136,13.4074163546322,9.185892015943955,3.030474695011475
20690,843,52.5,139500,50,2,2423.45,90.0355871886121,0,0,3.558718861209965,0,0,5.931198102016608,6.405693950177936,2.8747924080664293
21403,32207,44.5,108759,4392,84,91514.37,66.50417611078338,15.909584872853728,0.13351134846461948,1.1270841742478344,0.10246219765889403,10.696432452572422,13.636787033874622,5.526748843419132,2.841443475020958
20852,48379,38.5,121550,6467,145,132668.1,55.689452034973854,10.705057979701937,0.2811137063601976,19.954939126480497,0.004134025093532318,3.4395088778188887,13.36737013993675,9.925794249571094,2.7422662725562748
21654,1260,67.7,77288,134,9,3416.98,89.68253968253968,3.015873015873016,0,0.2380952380952381,0,0.15873015873015872,10.634920634920634,6.904761904761905,2.711888888888889
20733,2669,47.7,128864,4,7,6871,85.5751217684526,7.9055826152116895,0.18733608092918697,1.3113525665043086,0,0.14986886474334957,0.14986886474334957,4.87073810415886,2.574372424128887
20625,1248,46.6,126657,0,4,3210,94.87179487179486,0,0,1.5224358974358974,0,0,0,3.6057692307692304,2.5721153846153846
21132,3110,40.6,158550,41,14,7289.24,96.7524115755627,0,0,0,0,0,1.3183279742765275,3.247588424437299,2.343807073954984
20777,3220,45.6,215833,199,6,7493,70.43478260869566,6.39751552795031,0,16.73913043478261,0,1.3975155279503106,6.180124223602484,5.031055900621118,2.327018633540373
21645,1231,47.9,NA,0,3,2862.02,94.55727051177905,4.54914703493095,0,0,0,0,0,0.8935824532900082,2.3249553208773355
21762,176,52.1,NA,121,1,400,31.25,0,0,0,0,0,68.75,68.75,2.272727272727273
21659,1225,51.1,68393,0,4,2615.62,76.24489795918367,21.714285714285715,0,1.6326530612244898,0,0,0,0.40816326530612246,2.1351999999999998
21620,13636,41.2,69842,454,36,28937.43,80.48547961278967,13.105016133763566,0,1.1733646230566148,0.08066881783514226,1.2980346142563801,3.3294221179231447,3.8574361982986214,2.1221347902610734
20904,56532,40.9,90926,8198,129,115297.9,24.658600438689593,50.00707563857638,0.5306728932286139,11.742022217505129,0.049529470034670627,7.126936956060284,14.501521262293924,5.8851623859053275,2.0395156725394465
20901,37207,39.7,123031,6669,106,75277.5,43.83583734243556,29.220308006557904,0.5966619184562044,8.14900421963609,0.23920230064235223,10.19431827344317,17.924046550380304,7.7646679388287145,2.023207998494907
21717,209,61.9,77375,28,1,400,100,0,0,0,0,0,13.397129186602871,0,1.9138755980861244
21601,23589,49.4,80434,1894,49,44897.84,74.72550765187164,14.706007037178345,0.669803722073848,1.458306837932935,0,2.6495400398490823,8.029166136758658,5.790834711094154,1.9033379965238033
21201,18305,32.1,42324,751,24,33204.24,30.45615951925703,54.55886369844305,0.42065009560229444,5.779841573340618,0,1.3875990166621142,4.102704179186015,7.396886096694892,1.8139437312209779
21401,40442,44,114699,4221,116,73102.31,73.2283269867959,15.028930319964392,0.07170763068097523,3.555709411008358,0,3.3109143959250282,10.437169279461946,4.8044112556253395,1.807583947381435
20764,3280,49.4,112500,119,7,5609.5,78.29268292682927,13.963414634146343,0,1.951219512195122,0,1.5548780487804879,3.6280487804878048,4.237804878048781,1.7102134146341463
